query_length,run_1,run_2,run_3
5,2.42486310005188,2.558957815170288,2.377102851867676
10,4.489279270172119,4.57155966758728,4.609207630157471
15,6.717135190963745,6.587431907653809,6.909944534301758
20,8.84389352798462,8.725993633270264,8.857940912246704
25,11.423390865325928,11.426773309707642,11.321968078613281
30,13.547571182250977,13.248182535171509,13.871454954147339
35,15.949309587478638,15.779855728149414,16.777118682861328
40,18.21507430076599,18.532459020614624,17.28127384185791
45,19.58239984512329,19.945338487625122,20.034613132476807
50,22.505005598068237,22.392072200775146,21.320092916488647
